,ipc_all,lag_1,lag_2,lag_3,sugar_tj,sugar_bol,chicken_tj,sugar_po,sugar_cb,sugar_lp,sugar_or,oil2_bol,sugar_sc,lag_6,lard_co,oil2_tj,rice4_su,squash_co,watermelon_po,oil2_or,peas_co,onion2_tj,oil2_su,oil_su,sugar_su,apple_tr,chicken_sc,lard_or,oil2_po,oil_bol,oil_po,oil2_sc,redpepper_co,silver,rice4_lp,rice4_tj,platano_co,oil_sc,chicken_co,pineapple_co,ycorn_tj,freq
2010-01-01,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,169.0,13.0,170.0,165.0,169.0,160.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.3,248.0,7.0,9.1,8.9,7.5,402.5,18.235,244.57,250.0,75.0,9.1,12.0,600.0,67.0,day
2010-01-02,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,169.0,13.0,180.0,165.0,169.0,160.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,9.1,8.9,7.5,402.5,18.308333333333334,244.57,250.0,75.0,9.5,12.0,600.0,67.0,day
2010-01-03,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,169.0,13.0,180.0,165.0,169.0,160.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,9.1,8.9,7.5,402.5,18.381666666666664,244.57,250.0,75.0,9.5,12.0,600.0,67.0,day
2010-01-04,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,180.0,170.0,168.0,160.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,8.9,8.9,7.5,402.5,18.455,244.57,250.0,75.0,9.5,12.0,600.0,67.0,day
2010-01-05,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,175.0,13.0,180.0,175.0,168.0,160.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,8.8,8.9,7.5,402.5,18.415,250.0,250.0,75.0,9.5,12.0,600.0,67.0,day
2010-01-06,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,180.0,170.0,168.0,165.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,8.8,8.9,7.5,402.5,17.735,250.0,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-07,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,168.0,13.0,180.0,165.0,168.0,165.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,8.8,8.9,7.5,402.5,17.745,250.0,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-08,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,168.0,13.0,180.0,165.0,168.0,165.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,8.7,248.0,7.0,8.8,8.9,7.5,402.5,17.845,250.0,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-09,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,170.0,165.0,168.0,170.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,8.7,248.0,7.0,8.8,9.17,7.5,402.5,17.92833333333333,244.57,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-10,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,170.0,165.0,168.0,170.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,8.7,248.0,7.0,8.8,9.17,7.5,402.5,18.011666666666667,244.57,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-11,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,170.0,165.0,168.0,170.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,8.7,248.0,7.0,8.8,9.17,7.5,402.5,18.095,244.57,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-12,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,170.0,165.0,168.0,170.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,8.7,248.0,7.0,8.8,9.17,7.5,402.5,17.985,244.57,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-13,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,170.0,165.0,168.0,170.0,8.0,145.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,8.7,248.0,7.0,8.8,9.17,7.5,402.5,18.33,244.57,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-14,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,170.0,165.0,168.0,170.0,8.0,155.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,8.7,248.0,7.0,8.8,9.17,7.5,402.5,18.295,244.57,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-15,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,170.0,168.0,168.0,170.0,8.0,155.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,8.7,248.0,7.0,8.8,9.17,7.5,402.5,18.175,250.0,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-16,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,170.0,168.0,172.0,170.0,8.0,155.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,8.7,248.0,7.0,8.8,9.17,7.5,402.5,18.145,244.57,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-17,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,170.0,168.0,172.0,170.0,8.0,155.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,8.7,248.0,7.0,8.8,9.17,7.5,402.5,18.115,244.57,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-18,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,170.0,170.0,173.0,170.0,8.0,155.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,8.9,248.0,7.0,8.8,9.17,7.5,402.5,18.085,244.57,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-19,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,170.0,13.0,170.0,170.0,168.0,180.0,8.0,165.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,8.8,9.17,7.5,402.5,18.475,244.57,250.0,75.0,8.12,12.0,600.0,67.0,day
2010-01-20,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,175.0,13.0,170.0,170.0,175.0,180.0,8.0,165.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,8.8,9.17,7.5,402.5,18.64,244.57,250.0,75.0,8.12,12.0,600.0,70.0,day
2010-01-21,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,175.0,12.5,170.0,170.0,175.0,180.0,8.0,165.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,8.8,9.17,7.5,402.5,18.150454545454544,244.57,250.0,75.0,8.12,12.0,600.0,70.0,day
2010-01-22,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,178.0,12.5,170.0,170.0,178.0,180.0,8.0,165.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,8.8,9.17,7.5,402.5,18.795,244.57,250.0,75.0,8.12,12.0,600.0,70.0,day
2010-01-23,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,179.0,12.5,175.0,170.0,179.0,180.0,8.0,165.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,8.8,9.17,7.5,402.5,18.48333333333333,244.57,250.0,75.0,8.12,12.0,600.0,70.0,day
2010-01-24,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,179.0,12.5,175.0,170.0,179.0,180.0,8.0,165.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,8.8,9.17,7.5,402.5,18.171666666666667,244.57,250.0,75.0,8.12,12.0,600.0,70.0,day
2010-01-25,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,180.0,12.5,175.0,175.0,180.0,180.0,8.0,165.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,8.8,9.17,7.5,402.5,17.86,244.57,250.0,75.0,8.12,12.0,600.0,65.0,day
2010-01-26,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,180.0,12.5,175.0,175.0,180.0,180.0,8.0,165.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.7,248.0,7.0,8.8,9.17,7.5,402.5,17.475,239.13,250.0,75.0,8.12,12.0,600.0,65.0,day
2010-01-27,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,180.0,12.5,175.0,175.0,180.0,180.0,8.0,165.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.9,248.0,7.0,8.8,9.17,7.5,402.5,17.7,244.57,250.0,75.0,8.12,12.0,600.0,65.0,day
2010-01-28,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,180.0,12.5,175.0,175.0,180.0,180.0,8.0,165.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,9.9,248.0,7.0,8.8,9.17,7.5,402.5,18.36,244.57,250.0,75.0,8.12,12.0,600.0,65.0,day
2010-01-29,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,178.0,12.5,175.0,175.0,178.0,180.0,8.0,165.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,10.12,248.0,7.0,8.8,9.17,7.5,402.5,18.52,244.57,250.0,75.0,8.12,12.0,600.0,65.0,day
2010-01-30,,0.2637895354827169,0.4574977374887323,0.7849314339611446,165.0,180.0,12.5,180.0,175.0,179.0,188.0,8.0,165.0,1.4472991679652214,290.0,8.0,312.5,65.0,150.0,11.2,184.0,35.0,10.0,13.0,270.0,150.0,11.7,248.0,7.0,8.8,9.08,7.5,402.5,18.781666666666663,244.57,255.43,75.0,8.12,12.0,600.0,65.0,day
