date,Inflación,demanda,desempleo,dinero,economia,ine,ine bolivia,inflacion,inflacion en bolivia,inflación bolivia,ipc,la inflacion,la inflación,pib,pib bolivia,que es inflacion,que es pib
2011-01-31,42,22,42,41,60,43,54,58,59,100,79,44,33,50,29,100,54
2011-02-28,42,28,53,38,82,50,63,63,44,100,79,45,33,59,51,100,54
2011-03-31,44,41,44,46,99,59,79,82,78,100,54,57,33,92,77,100,54
2011-04-30,47,54,76,43,85,54,72,100,90,100,93,100,33,98,77,100,59
2011-05-31,29,55,62,47,83,57,75,75,68,100,88,73,33,78,69,89,56
2011-06-30,36,51,92,45,68,55,76,87,100,98,80,78,33,87,86,87,54
2011-07-31,30,34,41,43,60,37,46,56,58,96,70,63,33,56,44,86,77
2011-08-31,25,44,66,48,84,44,51,56,49,94,61,51,33,95,81,85,100
2011-09-30,26,43,83,47,71,58,65,72,75,92,57,69,33,77,72,84,51
2011-10-31,27,43,74,45,70,54,49,78,72,90,53,80,33,72,48,83,53
2011-11-30,28,42,82,48,65,50,46,65,69,88,70,55,33,74,71,81,52
2011-12-31,29,31,41,51,45,40,37,41,35,86,71,53,33,47,51,80,52
2012-01-31,30,30,35,46,52,35,38,31,44,84,72,56,33,42,44,79,53
2012-02-29,32,37,29,45,73,31,32,37,53,82,73,60,33,57,31,78,54
2012-03-31,30,44,82,46,100,53,61,61,77,80,75,64,33,100,100,77,65
2012-04-30,29,49,70,41,77,51,58,68,85,78,53,79,33,72,68,73,62
2012-05-31,27,44,83,43,72,43,46,48,74,77,38,44,33,91,67,69,60
2012-06-30,26,43,78,48,71,42,45,67,63,75,50,87,33,95,94,65,48
2012-07-31,25,36,62,52,60,36,36,52,42,73,63,51,33,62,60,61,41
2012-08-31,23,45,68,50,68,58,66,56,44,71,39,52,33,74,65,57,72
2012-09-30,22,44,63,47,69,100,100,43,37,69,41,46,33,80,69,59,78
2012-10-31,21,45,75,54,60,78,78,54,42,67,54,47,33,73,60,61,43
2012-11-30,22,37,57,55,46,99,92,51,57,65,48,55,32,56,49,68,58
2012-12-31,22,27,45,60,38,31,29,37,40,63,42,43,32,41,35,64,56
2013-01-31,23,25,24,68,44,41,39,26,37,61,36,23,31,25,27,60,54
2013-02-28,24,27,35,59,63,37,41,36,34,59,37,29,31,41,44,57,52
2013-03-31,25,36,60,54,71,41,46,32,29,57,60,41,30,74,67,53,51
2013-04-30,25,63,71,50,79,40,47,64,72,56,69,69,30,73,71,50,57
2013-05-31,22,53,71,51,59,38,41,46,51,53,37,41,30,73,47,50,59
2013-06-30,19,42,100,55,60,36,40,65,58,50,54,62,32,78,65,51,43
2013-07-31,21,35,46,54,52,35,37,29,31,47,46,28,31,52,45,54,28
2013-08-31,20,32,45,54,61,50,54,35,33,44,33,34,31,58,55,58,42
2013-09-30,20,46,64,53,65,39,43,55,42,41,30,40,30,65,59,62,26
2013-10-31,20,40,56,52,57,35,38,55,40,38,55,55,30,60,45,36,38
2013-11-30,23,39,55,51,46,30,39,63,51,35,49,59,29,70,64,50,73
2013-12-31,21,26,37,56,40,21,28,35,28,32,27,32,29,42,36,45,29
2014-01-31,20,24,21,68,41,25,27,37,26,29,33,28,28,29,23,41,38
2014-02-28,19,37,45,60,74,31,35,40,37,26,46,35,28,54,42,37,48
2014-03-31,18,43,46,55,74,29,35,48,48,23,31,49,26,63,62,42,58
2014-04-30,25,55,66,55,74,31,38,51,34,20,100,46,24,68,57,45,66
2014-05-31,28,55,65,56,60,33,37,52,47,17,63,63,23,68,49,49,80
2014-06-30,16,39,54,53,55,29,30,41,35,14,29,37,18,69,65,28,55
2014-07-31,4,7,10,17,9,5,4,6,4,11,60,7,14,12,6,7,7
2014-08-31,3,7,11,14,11,4,3,6,3,8,69,6,9,14,7,9,10
2014-09-30,5,9,13,14,11,5,4,7,4,6,55,8,5,15,6,8,8
2014-10-31,5,8,14,14,10,5,4,9,6,7,57,9,4,15,7,7,8
2014-11-30,6,8,15,14,10,5,3,9,4,8,67,9,3,15,7,6,7
2014-12-31,4,5,8,14,6,4,2,6,3,9,69,5,3,11,5,8,5
2015-01-31,4,5,7,17,6,4,2,4,5,10,58,2,4,9,3,6,6
2015-02-28,4,7,10,16,11,4,4,6,4,11,69,5,5,12,6,5,7
2015-03-31,7,11,12,17,15,5,5,11,5,13,58,10,6,17,10,10,10
2015-04-30,5,11,17,18,14,5,5,11,8,20,56,12,4,19,10,10,16
2015-05-31,7,20,15,15,13,5,4,10,4,27,58,10,5,15,6,12,11
2015-06-30,10,15,17,27,16,10,6,13,5,34,56,12,9,20,10,13,17
2015-07-31,13,36,19,67,41,23,24,25,14,41,31,23,23,39,32,24,29
2015-08-31,30,38,36,64,55,32,30,44,26,49,47,47,38,59,52,49,39
2015-09-30,22,82,55,57,56,31,28,51,36,42,30,54,30,71,58,45,64
2015-10-31,25,86,35,59,51,25,26,40,21,36,37,34,22,61,51,31,44
2015-11-30,35,61,47,64,47,26,27,49,45,30,45,49,34,51,39,43,39
2015-12-31,19,30,25,68,32,17,18,22,18,38,26,11,28,32,24,39,22
2016-01-31,21,22,17,68,25,16,15,27,20,47,35,16,23,24,24,35,27
2016-02-29,15,34,28,62,48,18,17,34,19,47,36,27,18,46,40,31,32
2016-03-31,26,77,48,61,63,23,23,51,37,47,44,43,23,67,56,39,54
2016-04-30,39,59,48,63,61,22,22,56,40,47,43,59,39,70,51,43,60
2016-05-31,33,48,73,64,49,22,23,66,38,30,37,60,27,64,48,50,50
2016-06-30,27,51,45,68,53,22,21,58,38,29,36,54,28,65,56,31,43
2016-07-31,19,41,39,72,39,21,18,33,20,28,30,29,19,49,41,24,33
2016-08-31,23,43,37,68,51,19,18,39,25,28,33,34,17,59,44,42,51
2016-09-30,20,49,40,74,54,21,18,32,19,29,31,34,15,48,37,31,44
2016-10-31,21,50,53,77,50,23,22,45,34,30,19,36,17,63,52,45,62
2016-11-30,22,47,52,85,42,20,19,44,31,31,36,47,24,63,46,46,56
2016-12-31,12,27,35,91,28,12,12,27,12,31,24,21,23,40,27,37,26
2017-01-31,11,21,20,100,28,15,17,22,20,31,19,19,21,30,23,29,23
2017-02-28,15,31,28,90,48,17,21,32,14,31,32,31,20,45,36,21,21
2017-03-31,22,86,46,84,57,26,34,59,31,31,41,41,19,66,51,62,44
2017-04-30,28,54,55,86,52,21,29,57,29,30,57,56,29,67,56,42,38
2017-05-31,36,43,69,82,49,21,28,53,34,28,54,46,39,61,47,43,59
2017-06-30,25,40,56,82,49,18,22,53,27,27,37,52,23,64,45,37,49
2017-07-31,17,31,27,76,39,14,18,34,13,27,37,31,23,42,33,40,33
2017-08-31,21,36,33,77,54,17,23,38,20,27,41,33,23,53,44,32,58
2017-09-30,16,47,42,73,50,19,28,38,21,26,26,33,23,61,50,33,53
2017-10-31,24,44,44,73,46,18,25,37,33,26,41,40,23,56,54,27,42
2017-11-30,21,39,43,75,38,17,17,40,29,26,56,38,23,51,48,30,22
2017-12-31,10,22,28,84,24,11,13,22,17,29,21,26,23,36,30,23,26
