,ipc_all,lag_1,lag_2,lag_3,lag_6,lag_9,lag_12,oil_cb,sugar_sc,milk2_cb,watermelon_po,flour_lp,chicken_tj,lard_co,onion2_tj,ycorn_tj,platano_co,oil_su,chicken_co,rice_cb,inflacion,tomato_tj,chicken_tr,papa2_tj,silver,sugar_tj,chicken_cb,squash_co,peas_tj,rice3_po,peas_su,papaya_su,carrot_tj,bean_cb,yuca_lp,freq
2010-01-01,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,9.1,145.0,128.0,150.0,160.0,13.0,290.0,35.0,67.0,75.0,13.0,12.0,280.0,,32.14,14.0,30.0,18.235,165.0,8.3,65.0,60.0,220.0,55.0,500.0,21.88,32.0,35.0,day
2010-01-02,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,9.1,145.0,128.0,150.0,174.0,13.0,290.0,35.0,67.0,75.0,13.0,12.0,280.0,,28.0,14.0,30.0,18.308333333333334,165.0,8.0,65.0,60.0,220.0,55.0,500.0,22.5,30.0,35.0,day
2010-01-03,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,9.1,145.0,128.0,150.0,174.0,13.0,290.0,35.0,67.0,75.0,13.0,12.0,280.0,,28.0,14.0,30.0,18.381666666666664,165.0,8.0,65.0,60.0,220.0,55.0,500.0,22.5,30.0,35.0,day
2010-01-04,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,145.0,128.0,150.0,173.0,13.0,290.0,35.0,67.0,75.0,13.0,12.0,280.0,,20.0,14.0,30.0,18.455,165.0,8.0,65.0,60.0,220.0,55.0,500.0,20.0,30.0,35.0,day
2010-01-05,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,145.0,128.0,150.0,160.0,13.0,290.0,35.0,67.0,75.0,13.0,12.0,280.0,,22.5,14.0,30.0,18.415,165.0,8.0,65.0,60.0,220.0,55.0,500.0,22.5,28.0,35.0,day
2010-01-06,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,145.0,128.0,150.0,173.0,13.0,290.0,35.0,67.0,75.0,13.0,12.0,280.0,,20.0,14.0,30.0,17.735,165.0,8.0,65.0,60.0,220.0,55.0,500.0,22.5,22.0,35.0,day
2010-01-07,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,145.0,128.0,150.0,173.0,13.0,290.0,35.0,67.0,75.0,13.0,12.0,280.0,,25.0,14.0,30.0,17.745,165.0,8.0,65.0,57.0,220.0,55.0,500.0,18.75,22.0,35.0,day
2010-01-08,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,145.0,128.0,150.0,173.0,13.0,290.0,35.0,67.0,75.0,13.0,12.0,280.0,,25.0,14.0,30.0,17.845,165.0,7.9,65.0,50.0,220.0,55.0,500.0,16.25,25.0,35.0,day
2010-01-09,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,145.0,128.0,150.0,173.0,13.0,290.0,35.0,67.0,75.0,13.0,12.0,280.0,,36.16,14.0,30.0,17.92833333333333,165.0,7.9,65.0,45.0,220.0,55.0,500.0,13.75,25.0,35.0,day
2010-01-10,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,145.0,128.0,150.0,173.0,13.0,290.0,35.0,67.0,75.0,13.0,12.0,280.0,,36.16,14.0,30.0,18.011666666666667,165.0,7.9,65.0,45.0,220.0,55.0,500.0,13.75,25.0,35.0,day
