,ipc_all,lag_1,lag_2,lag_3,lag_6,lag_9,lag_12,oil_cb,sugar_bol,chicken_tj,oil2_tj,oil2_bol,sugar_tj,rice4_tj,sugar_cb,rice3_po,sugar_or,sugar_sc,rice4_su,ycorn_tj,chicken_bol,papa2_tj,oil2_po,sugar_lp,papaya_tr,oil_sc,banana_co,rice_bol,milk_sc,chicken_tr,pineapple_tr,rice2_lp,rice3_su,ufv,paprika_or,squash_co,papa1_po,rice2_po,flour_lp,chicken_po,silver,chicken_lp,ycorn_sc,chicken_sc,tomato_co,libor,platano_co,sugar_po,carrot_co,tomato_tj,oil_tr,lard_lp,rice4_or,freq
2010-01-01,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,9.1,169.0,13.0,8.0,8.0,165.0,250.0,165.0,220.0,160.0,145.0,312.5,67.0,12.0,30.0,7.0,169.0,300.0,9.1,75.0,280.0,4.5,14.0,350.0,169.0,230.0,1.53756,60.0,65.0,27.5,220.0,160.0,13.0,18.235,11.2,62.0,9.3,174.0,0.42969,75.0,170.0,62.5,32.14,9.17,185.0,250.0,day
2010-01-02,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,9.1,169.0,13.0,8.0,8.0,165.0,250.0,165.0,220.0,160.0,145.0,312.5,67.0,12.0,30.0,7.0,169.0,300.0,9.5,75.0,280.0,4.9,14.0,350.0,169.0,230.0,1.53758,60.0,65.0,27.5,220.0,174.0,13.0,18.308333333333334,11.2,61.0,9.7,174.0,0.4312533333333333,75.0,180.0,62.5,28.0,9.17,185.0,250.0,day
2010-01-03,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,9.1,169.0,13.0,8.0,8.0,165.0,250.0,165.0,220.0,160.0,145.0,312.5,67.0,12.0,30.0,7.0,169.0,300.0,9.5,75.0,280.0,4.9,14.0,350.0,169.0,230.0,1.5376,60.0,65.0,27.5,220.0,174.0,13.0,18.381666666666664,11.2,61.0,9.7,174.0,0.4328166666666667,75.0,180.0,62.5,28.0,9.17,185.0,250.0,day
2010-01-04,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,170.0,13.0,8.0,8.0,165.0,250.0,170.0,220.0,160.0,145.0,312.5,67.0,12.0,30.0,7.0,168.0,300.0,9.5,75.0,280.0,4.9,14.0,350.0,169.0,230.0,1.53762,60.0,65.0,27.5,220.0,173.0,13.0,18.455,11.0,60.0,9.7,174.0,0.43438,75.0,180.0,62.5,20.0,9.17,185.0,250.0,day
2010-01-05,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,175.0,13.0,8.0,8.0,165.0,250.0,175.0,220.0,160.0,145.0,312.5,67.0,12.0,30.0,7.0,168.0,300.0,9.5,75.0,280.0,4.9,14.0,350.0,169.0,230.0,1.53764,60.0,65.0,27.5,220.0,160.0,13.0,18.415,11.0,60.0,9.7,174.0,0.4275,75.0,180.0,62.5,22.5,9.17,185.0,250.0,day
2010-01-06,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,170.0,13.0,8.0,8.0,165.0,250.0,170.0,220.0,165.0,145.0,312.5,67.0,12.0,30.0,7.0,168.0,300.0,8.12,75.0,280.0,4.9,14.0,350.0,169.0,230.0,1.53766,60.0,65.0,27.5,220.0,173.0,13.0,17.735,11.0,60.0,9.7,174.0,0.42563,75.0,180.0,62.5,20.0,9.17,185.0,250.0,day
2010-01-07,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,168.0,13.0,8.0,8.0,165.0,250.0,165.0,220.0,165.0,145.0,312.5,67.0,12.0,30.0,7.0,168.0,300.0,8.12,75.0,280.0,4.9,14.0,350.0,169.0,230.0,1.53768,60.0,65.0,27.5,220.0,173.0,13.0,17.745,10.6,60.0,9.7,174.0,0.4175,75.0,180.0,62.5,25.0,9.17,185.0,250.0,day
2010-01-08,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,168.0,13.0,8.0,8.0,165.0,250.0,165.0,220.0,165.0,145.0,312.5,67.0,12.0,30.0,7.0,168.0,300.0,8.12,75.0,280.0,4.9,14.0,350.0,169.0,230.0,1.5377,60.0,65.0,27.5,220.0,173.0,13.0,17.845,10.6,60.0,8.7,174.0,0.42,75.0,180.0,62.5,25.0,9.17,185.0,250.0,day
2010-01-09,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,170.0,13.0,8.0,8.0,165.0,250.0,165.0,220.0,170.0,145.0,312.5,67.0,12.0,30.0,7.0,168.0,300.0,8.12,75.0,280.0,4.9,14.0,350.0,169.0,230.0,1.53772,60.0,65.0,27.5,220.0,173.0,13.0,17.92833333333333,9.6,60.0,8.7,174.0,0.4145833333333333,75.0,170.0,62.5,36.16,9.17,185.0,250.0,day
2010-01-10,,0.2637895354827169,0.4574977374887323,0.7849314339611446,1.4472991679652214,5.323961480587247,11.041182029143748,8.8,170.0,13.0,8.0,8.0,165.0,250.0,165.0,220.0,170.0,145.0,312.5,67.0,12.0,30.0,7.0,168.0,300.0,8.12,75.0,280.0,4.9,14.0,350.0,169.0,230.0,1.53774,60.0,65.0,27.5,220.0,173.0,13.0,18.011666666666667,9.6,60.0,8.7,174.0,0.4091666666666667,75.0,170.0,62.5,36.16,9.17,185.0,250.0,day
